,macro,iteration,value,n,n_cumsum,cost_cumsum
389,9,20,1.9419360160827637,2.0,40.0,41.0
390,9,21,1.9350605010986328,2.0,42.0,43.0
391,9,22,1.9312787055969238,2.0,44.0,45.0
392,9,23,1.932650089263916,2.0,46.0,47.0
393,9,24,1.9353954792022705,2.0,48.0,49.0
394,9,25,1.9271738529205322,2.0,50.0,51.0
395,9,26,1.9262893199920654,2.0,52.0,53.0
396,9,27,1.9228558540344238,2.0,54.0,55.0
397,9,28,1.9322375059127808,2.0,56.0,57.0
398,9,29,1.917891263961792,2.0,58.0,59.0
399,9,30,1.9432768821716309,2.0,60.0,61.0
400,9,31,1.953533411026001,2.0,62.0,63.0
401,9,32,1.9509100914001465,2.0,64.0,65.0
402,9,33,1.950065016746521,2.0,66.0,67.0
403,9,34,1.9528026580810547,2.0,68.0,69.0
404,9,35,1.953033208847046,2.0,70.0,71.0
405,9,36,1.953655481338501,2.0,72.0,73.0
406,9,37,1.9522942304611206,2.0,74.0,75.0
407,9,38,1.9493160247802734,2.0,76.0,77.0
408,9,39,1.9418706893920898,2.0,78.0,79.0
409,9,40,1.9513499736785889,2.0,80.0,81.0
410,10,0,1.6859872341156006,0.0,0.0,0.0
411,10,1,1.7992007732391357,2.0,2.0,3.0
412,10,2,1.7362531423568726,2.0,4.0,5.0
413,10,3,1.7464900016784668,2.0,6.0,7.0
414,10,4,1.7677327394485474,2.0,8.0,9.0
415,10,5,1.7528104782104492,2.0,10.0,11.0
416,10,6,1.7326529026031494,2.0,12.0,13.0
417,10,7,1.789428949356079,2.0,14.0,15.0
418,10,8,1.7994304895401,2.0,16.0,17.0
419,10,9,1.8059227466583252,2.0,18.0,19.0
420,10,10,1.8364439010620117,2.0,20.0,21.0
421,10,11,1.9034690856933594,2.0,22.0,23.0
422,10,12,1.946248173713684,2.0,24.0,25.0
423,10,13,1.9547884464263916,2.0,26.0,27.0
424,10,14,1.954994797706604,2.0,28.0,29.0
425,10,15,1.954843521118164,2.0,30.0,31.0
426,10,16,1.9547979831695557,2.0,32.0,33.0
427,10,17,1.9524152278900146,2.0,34.0,35.0
428,10,18,1.9546291828155518,2.0,36.0,37.0
429,10,19,1.946164608001709,2.0,38.0,39.0
430,10,20,1.9453169107437134,2.0,40.0,41.0
431,10,21,1.9549552202224731,2.0,42.0,43.0
432,10,22,1.9547524452209473,2.0,44.0,45.0
433,10,23,1.954785943031311,2.0,46.0,47.0
434,10,24,1.9550011157989502,2.0,48.0,49.0
435,10,25,1.9532439708709717,2.0,50.0,51.0
436,10,26,1.9534177780151367,2.0,52.0,53.0
437,10,27,1.9549000263214111,2.0,54.0,55.0
438,10,28,1.9548720121383667,2.0,56.0,57.0
439,10,29,1.9548671245574951,2.0,58.0,59.0
440,10,30,1.9550156593322754,2.0,60.0,61.0
441,10,31,1.9549169540405273,2.0,62.0,63.0
442,10,32,1.943860411643982,2.0,64.0,65.0
443,10,33,1.954830288887024,2.0,66.0,67.0
444,10,34,1.954380750656128,2.0,68.0,69.0
445,10,35,1.9531047344207764,2.0,70.0,71.0
446,10,36,1.9543886184692383,2.0,72.0,73.0
447,10,37,1.953747272491455,2.0,74.0,75.0
448,10,38,1.9545526504516602,2.0,76.0,77.0
449,10,39,1.953399419784546,2.0,78.0,79.0
450,10,40,1.95493745803833,2.0,80.0,81.0
451,11,0,1.9030483961105347,0.0,0.0,0.0
452,11,1,1.8227051496505737,2.0,2.0,3.0
453,11,2,1.8796908855438232,2.0,4.0,5.0
454,11,3,1.935369610786438,2.0,6.0,7.0
455,11,4,1.9549455642700195,2.0,8.0,9.0
456,11,5,1.9506618976593018,2.0,10.0,11.0
457,11,6,1.9503575563430786,2.0,12.0,13.0
458,11,7,1.9468896389007568,2.0,14.0,15.0
459,11,8,1.9474341869354248,2.0,16.0,17.0
460,11,9,1.947739839553833,2.0,18.0,19.0
461,11,10,1.947495937347412,2.0,20.0,21.0
462,11,11,1.9410498142242432,2.0,22.0,23.0
463,11,12,1.953348159790039,2.0,24.0,25.0
464,11,13,1.9546115398406982,2.0,26.0,27.0
465,11,14,1.9550156593322754,2.0,28.0,29.0
466,11,15,1.954957127571106,2.0,30.0,31.0
467,11,16,1.9545553922653198,2.0,32.0,33.0
468,11,17,1.9548568725585938,2.0,34.0,35.0
469,11,18,1.9548025131225586,2.0,36.0,37.0
470,11,19,1.9544333219528198,2.0,38.0,39.0
471,11,20,1.9546245336532593,2.0,40.0,41.0
472,11,21,1.953635573387146,2.0,42.0,43.0
473,11,22,1.9526522159576416,2.0,44.0,45.0
474,11,23,1.9517252445220947,2.0,46.0,47.0
475,11,24,1.9520432949066162,2.0,48.0,49.0
476,11,25,1.9541974067687988,2.0,50.0,51.0
477,11,26,1.9493074417114258,2.0,52.0,53.0
478,11,27,1.9510033130645752,2.0,54.0,55.0
479,11,28,1.9519734382629395,2.0,56.0,57.0
480,11,29,1.951779842376709,2.0,58.0,59.0
481,11,30,1.951714277267456,2.0,60.0,61.0
482,11,31,1.9503226280212402,2.0,62.0,63.0
483,11,32,1.9516196250915527,2.0,64.0,65.0
484,11,33,1.9518860578536987,2.0,66.0,67.0
485,11,34,1.951348900794983,2.0,68.0,69.0
486,11,35,1.9500374794006348,2.0,70.0,71.0
487,11,36,1.9488857984542847,2.0,72.0,73.0
488,11,37,1.949513554573059,2.0,74.0,75.0
489,11,38,1.95200514793396,2.0,76.0,77.0
490,11,39,1.953732967376709,2.0,78.0,79.0
491,11,40,1.9516392946243286,2.0,80.0,81.0
492,12,0,1.8913209438323975,0.0,0.0,0.0
493,12,1,1.8931257724761963,2.0,2.0,3.0
494,12,2,1.9509484767913818,2.0,4.0,5.0
495,12,3,1.94626784324646,2.0,6.0,7.0
496,12,4,1.9533636569976807,2.0,8.0,9.0
497,12,5,1.9386976957321167,2.0,10.0,11.0
498,12,6,1.9422671794891357,2.0,12.0,13.0
499,12,7,1.9447236061096191,2.0,14.0,15.0
500,12,8,1.9240542650222778,2.0,16.0,17.0
501,12,9,1.9403252601623535,2.0,18.0,19.0
502,12,10,1.9371273517608643,2.0,20.0,21.0
503,12,11,1.9269092082977295,2.0,22.0,23.0
504,12,12,1.9314680099487305,2.0,24.0,25.0
505,12,13,1.937450647354126,2.0,26.0,27.0
506,12,14,1.9363727569580078,2.0,28.0,29.0
507,12,15,1.9387271404266357,2.0,30.0,31.0
508,12,16,1.9284162521362305,2.0,32.0,33.0
509,12,17,1.9289889335632324,2.0,34.0,35.0
510,12,18,1.9302183389663696,2.0,36.0,37.0
511,12,19,1.939479112625122,2.0,38.0,39.0
512,12,20,1.9393612146377563,2.0,40.0,41.0
513,12,21,1.9397379159927368,2.0,42.0,43.0
514,12,22,1.9431202411651611,2.0,44.0,45.0
515,12,23,1.9380369186401367,2.0,46.0,47.0
516,12,24,1.933907151222229,2.0,48.0,49.0
517,12,25,1.931251049041748,2.0,50.0,51.0
