,macro,iteration,value,n,n_cumsum,cost_cumsum
352,22,0,1.7081294059753418,0.0,0.0,0.0
353,22,1,1.647264003753662,3.0,3.0,3.5
354,22,2,1.9448174238204956,3.0,6.0,6.0
355,22,3,1.9403313398361206,4.0,10.0,9.0
356,22,4,1.9547123908996582,4.0,14.0,12.0
357,22,5,1.955005407333374,5.0,19.0,15.5
358,22,6,1.9538440704345703,3.0,22.0,18.0
359,22,7,1.9543800354003906,6.0,28.0,22.0
360,22,8,1.9480957984924316,7.0,35.0,26.5
361,22,9,1.9432697296142578,5.0,40.0,30.0
362,22,10,1.9403915405273438,7.0,47.0,34.5
363,22,11,1.9438190460205078,8.0,55.0,39.5
364,22,12,1.9443726539611816,2.0,57.0,41.5
365,22,13,1.9471468925476074,4.0,61.0,44.5
366,22,14,1.9464423656463623,1.0,62.0,46.0
367,22,15,1.9477050304412842,4.0,66.0,49.0
368,23,0,1.9522427320480347,0.0,0.0,0.0
369,23,1,1.9392613172531128,3.0,3.0,3.5
370,23,2,1.9509084224700928,5.0,8.0,7.0
371,23,3,1.8999042510986328,4.0,12.0,10.0
372,23,4,1.799062728881836,5.0,17.0,13.5
373,23,5,1.942314624786377,5.0,22.0,17.0
374,23,6,1.9511780738830566,5.0,27.0,20.5
375,23,7,1.9512096643447876,8.0,35.0,25.5
376,23,8,1.945923924446106,6.0,41.0,29.5
377,23,9,1.9505624771118164,9.0,50.0,35.0
378,23,10,1.9504731893539429,7.0,57.0,39.5
379,23,11,1.9527138471603394,8.0,65.0,44.5
380,23,12,1.9530221223831177,11.0,76.0,51.0
381,23,13,1.9547255039215088,9.0,85.0,56.5
382,23,14,1.9538261890411377,8.0,93.0,61.5
383,23,15,1.954834222793579,10.0,103.0,67.5
384,24,0,1.7936135530471802,0.0,0.0,0.0
385,24,1,1.614072322845459,3.0,3.0,3.5
386,24,2,1.831139087677002,3.0,6.0,6.0
387,24,3,1.7588062286376953,3.0,9.0,8.5
388,24,4,1.9466266632080078,3.0,12.0,11.0
389,24,5,1.9545128345489502,4.0,16.0,14.0
390,24,6,1.9359197616577148,3.0,19.0,16.5
391,24,7,1.9533803462982178,3.0,22.0,19.0
392,24,8,1.9458961486816406,5.0,27.0,22.5
393,24,9,1.95487380027771,6.0,33.0,26.5
394,24,10,1.9500162601470947,2.0,35.0,28.5
395,24,11,1.9546661376953125,2.0,37.0,30.5
396,24,12,1.954951524734497,2.0,39.0,32.5
397,24,13,1.9466171264648438,3.0,42.0,35.0
398,24,14,1.942889928817749,5.0,47.0,38.5
399,24,15,1.947766661643982,7.0,54.0,43.0
400,25,0,0.9397623538970947,0.0,0.0,0.0
401,25,1,1.9235365390777588,3.0,3.0,3.5
402,25,2,1.942896842956543,3.0,6.0,6.0
403,25,3,1.9534940719604492,2.0,8.0,8.0
404,25,4,1.9222133159637451,4.0,12.0,11.0
405,25,5,1.931121587753296,5.0,17.0,14.5
406,25,6,1.904965877532959,5.0,22.0,18.0
407,25,7,1.9522132873535156,5.0,27.0,21.5
408,25,8,1.9506185054779053,4.0,31.0,24.5
409,25,9,1.9343947172164917,7.0,38.0,29.0
410,25,10,1.923271894454956,9.0,47.0,34.5
411,25,11,1.9180235862731934,7.0,54.0,39.0
412,25,12,1.9136860370635986,9.0,63.0,44.5
413,25,13,1.9135699272155762,11.0,74.0,51.0
414,25,14,1.9127991199493408,12.0,86.0,58.0
415,25,15,1.9167418479919434,8.0,94.0,63.0
416,26,0,0.8591554164886475,0.0,0.0,0.0
417,26,1,1.9182085990905762,3.0,3.0,3.5
418,26,2,1.9544916152954102,3.0,6.0,6.0
419,26,3,1.9486922025680542,3.0,9.0,8.5
420,26,4,1.909611701965332,4.0,13.0,11.5
421,26,5,1.887794017791748,5.0,18.0,15.0
422,26,6,1.87860906124115,6.0,24.0,19.0
423,26,7,1.8745884895324707,7.0,31.0,23.5
424,26,8,1.910724401473999,6.0,37.0,27.5
425,26,9,1.9104115962982178,2.0,39.0,29.5
426,26,10,1.9140856266021729,7.0,46.0,34.0
427,26,11,1.9247727394104004,7.0,53.0,38.5
428,26,12,1.9473724365234375,6.0,59.0,42.5
